team,conf,adjem,adjo,adjd,luck
Kansas,B12,35.21,120.9,85.7,.012
Memphis,CUSA,31.51,118.0,86.5,.012
North Carolina,ACC,30.22,122.1,91.9,.050
UCLA,P10,29.94,118.0,88.1,.047
Wisconsin,B10,26.68,113.5,86.8,.043
Duke,ACC,26.40,116.3,89.9,-.006
Georgetown,BE,25.56,115.2,89.7,.029
Louisville,BE,25.41,113.1,87.7,-.057
Texas,B12,25.09,120.6,95.5,.044
Washington St.,P10,24.32,115.1,90.8,-.004
Davidson,SC,23.61,117.0,93.4,-.036
Stanford,P10,22.75,113.6,90.9,.040
Tennessee,SEC,22.17,116.2,94.0,.110
Marquette,BE,22.16,115.3,93.1,-.027
Xavier,A10,22.05,117.3,95.2,.054
Clemson,ACC,22.03,114.0,91.9,-.044
Drake,MVC,21.46,120.0,98.5,.011
West Virginia,BE,21.29,114.6,93.3,-.019
Michigan St.,B10,21.15,115.8,94.7,.032
Butler,Horz,19.97,116.2,96.2,.002
Texas A&M,B12,19.93,112.3,92.3,.004
Pittsburgh,BE,19.91,116.5,96.6,.027
Arizona,P10,19.14,116.4,97.3,-.079
Notre Dame,BE,19.07,114.6,95.6,.042
Gonzaga,WCC,19.05,114.5,95.5,-.029
Kansas St.,B12,18.90,114.2,95.3,-.049
Connecticut,BE,18.90,115.2,96.3,-.001
USC,P10,18.67,110.5,91.9,-.005
Indiana,B10,18.43,114.6,96.1,.037
Purdue,B10,18.30,110.5,92.2,-.025
Ohio St.,B10,17.79,110.2,92.4,-.027
New Mexico,MWC,17.08,111.1,94.0,-.046
Mississippi St.,SEC,16.77,108.2,91.5,-.043
Virginia Tech,ACC,16.29,107.1,90.8,-.048
BYU,MWC,15.76,107.4,91.7,.027
Oregon,P10,15.66,118.8,103.1,-.035
Miami FL,ACC,15.38,112.5,97.1,-.003
Florida,SEC,15.37,115.9,100.5,-.042
Nebraska,B12,15.31,108.0,92.7,-.042
Arkansas,SEC,15.19,111.4,96.2,.008
Baylor,B12,14.82,115.7,100.9,-.028
Saint Mary's,WCC,14.66,109.2,94.6,.030
Western Kentucky,SB,14.60,111.9,97.3,-.021
Oklahoma,B12,14.47,109.5,95.1,.077
Saint Joseph's,A10,14.32,115.1,100.8,-.069
Villanova,BE,14.21,109.2,95.0,.037
Syracuse,BE,14.12,112.6,98.4,-.026
UNLV,MWC,13.71,110.2,96.5,.081
Arizona St.,P10,13.62,110.2,96.6,.010
Mississippi,SEC,13.49,114.2,100.7,.010
Illinois,B10,13.47,107.5,94.0,-.119
Massachusetts,A10,13.10,110.5,97.3,.005
Georgia Tech,ACC,13.10,114.5,101.4,-.077
Missouri,B12,13.04,113.3,100.2,-.105
Kent St.,MAC,13.04,107.8,94.8,.075
Vanderbilt,SEC,12.65,112.3,99.6,.110
Temple,A10,12.37,112.8,100.4,-.018
Illinois St.,MVC,12.37,106.2,93.9,.043
Florida St.,ACC,12.26,108.7,96.4,-.035
Dayton,A10,12.08,111.8,99.7,.055
UAB,CUSA,12.07,110.7,98.6,.017
Southern Illinois,MVC,12.04,105.7,93.7,-.033
Maryland,ACC,11.99,107.1,95.1,-.044
Utah,MWC,11.94,110.2,98.3,-.111
South Alabama,SB,11.80,112.6,100.8,-.002
IUPUI,Sum,11.68,116.5,104.8,-.019
California,P10,11.51,115.8,104.3,-.013
VCU,CAA,11.45,104.7,93.2,-.041
Washington,P10,11.36,109.7,98.4,-.070
Minnesota,B10,11.34,108.4,97.1,-.025
Houston,CUSA,11.28,114.2,102.9,-.044
Rhode Island,A10,11.20,115.1,103.9,-.059
Wake Forest,ACC,10.82,107.7,96.9,-.016
Creighton,MVC,10.80,108.7,97.9,.049
Oklahoma St.,B12,10.78,109.1,98.4,-.030
Akron,MAC,10.48,110.9,100.4,-.009
Oral Roberts,Sum,10.27,104.7,94.5,.032
Kentucky,SEC,10.01,107.8,97.8,.010
Duquesne,A10,9.97,108.9,99.0,-.086
George Mason,CAA,9.68,110.7,101.0,-.010
Miami OH,MAC,9.63,108.4,98.7,-.038
Tulsa,CUSA,9.63,106.2,96.6,.019
Texas Tech,B12,9.60,107.7,98.1,.014
Charlotte,A10,9.53,104.6,95.1,-.006
Providence,BE,9.40,110.1,100.8,-.025
Alabama,SEC,9.20,110.9,101.7,-.055
Bradley,MVC,9.05,111.8,102.7,-.022
Cal St. Fullerton,BW,8.47,112.3,103.9,-.010
Missouri St.,MVC,8.39,108.2,99.8,-.063
Virginia,ACC,8.11,110.5,102.4,-.024
Georgia,SEC,8.08,104.3,96.2,-.032
San Diego St.,MWC,7.99,104.9,96.9,-.006
Siena,MAAC,7.99,108.6,100.7,.036
Western Michigan,MAC,7.92,108.1,100.2,-.023
Ohio,MAC,7.55,109.7,102.1,.019
Stephen F. Austin,Slnd,7.53,107.6,100.1,.029
UCF,CUSA,7.11,109.1,102.0,-.106
Southern Miss,CUSA,6.98,108.3,101.3,-.030
UNC Greensboro,SC,6.96,108.1,101.2,.014
New Mexico St.,WAC,6.85,108.1,101.3,-.060
Nevada,WAC,6.59,108.5,101.9,.013
Cincinnati,BE,6.58,104.8,98.2,-.006
Cleveland St.,Horz,6.58,103.3,96.7,.035
Winthrop,BSth,6.38,99.5,93.1,-.000
Boston College,ACC,6.37,108.9,102.6,-.015
South Carolina,SEC,6.10,109.1,103.0,-.086
Seton Hall,BE,6.00,110.5,104.5,.040
UTEP,CUSA,5.74,106.7,100.9,-.013
Utah St.,WAC,5.70,114.6,108.9,.038
North Carolina St.,ACC,5.65,107.6,101.9,.043
South Florida,BE,5.41,107.4,102.0,-.098
Portland St.,BSky,5.40,108.6,103.2,.062
Illinois Chicago,Horz,5.34,104.8,99.5,-.015
DePaul,BE,5.28,111.8,106.6,-.031
LSU,SEC,5.20,104.9,99.7,-.080
Wright St.,Horz,5.04,104.0,98.9,.064
UC Santa Barbara,BW,4.93,102.3,97.3,.062
Old Dominion,CAA,4.90,106.5,101.6,-.034
Valparaiso,Horz,4.70,107.9,103.2,.049
San Diego,WCC,4.64,101.6,97.0,.045
Northern Iowa,MVC,4.62,105.9,101.3,.041
Rider,MAAC,4.62,108.2,103.6,.010
Cornell,Ivy,4.41,110.1,105.7,.086
Iowa St.,B12,4.38,101.7,97.4,-.015
Colorado,B12,4.29,104.7,100.4,-.066
Boise St.,WAC,3.89,108.7,104.8,.085
UMBC,AE,3.86,113.2,109.3,.057
Georgia Southern,SC,3.82,106.0,102.2,.019
Belmont,ASun,3.53,109.7,106.2,.075
Penn St.,B10,3.48,107.7,104.2,.030
Cal St. Northridge,BW,3.43,102.2,98.7,.023
Indiana St.,MVC,3.20,105.9,102.7,.041
North Texas,SB,3.11,105.9,102.8,-.024
Brown,Ivy,3.07,108.9,105.8,.042
Niagara,MAAC,2.92,106.7,103.7,.025
North Dakota St.,Sum,2.88,107.0,104.1,-.065
Michigan,B10,2.70,104.4,101.7,-.037
Sam Houston St.,Slnd,2.70,96.5,93.8,.022
Marshall,CUSA,2.56,106.2,103.6,-.007
St. John's,BE,2.44,98.6,96.2,-.011
Appalachian St.,SC,2.41,105.8,103.4,.003
Oakland,Sum,2.39,111.7,109.3,-.016
Pacific,BW,2.36,107.1,104.7,.046
Robert Morris,NEC,2.27,103.3,101.1,.076
Green Bay,Horz,2.02,107.1,105.1,.019
Iowa,B10,2.01,98.8,96.8,-.023
La Salle,A10,1.93,107.4,105.5,-.004
Marist,MAAC,1.92,106.3,104.4,.018
Auburn,SEC,1.92,109.8,107.8,.008
American,Pat,1.67,107.9,106.3,.045
Richmond,A10,1.48,101.4,99.9,.103
