"date","home","hscore","road","rscore","line","lineavg","linesag","linesage","linesagp","linepom","linemoore","linemass","linegreen","linedunk","lineargh","linesauce","linemarkov","linerpi"
"11/24/2003","Washington",91,"Cal Riverside",78,13.5,15.73,14.63,14.63,14.63,13.82,22.54,14.12,".",".",".",".",".","."
"11/24/2003","Arizona St.",83,"Cal St. Fullerton",76,19.0,23.20,20.96,20.96,20.96,26.17,25.21,24.96,".",".",".",".",".","."
"11/24/2003","Dayton",82,"Central Michigan",63,11.0,5.88,5.89,5.89,5.89,10.03,5.15,2.42,".",".",".",".",".","."
"11/24/2003","Pepperdine",94,"Colorado",77,0.0,-3.83,0.89,0.89,0.89,-5.88,-10.09,-9.70,".",".",".",".",".","."
"11/24/2003","Manhattan",72,"Columbia",57,22.5,23.40,19.67,19.67,19.67,22.20,27.70,31.46,".",".",".",".",".","."
"11/24/2003","North Carolina",91,"Davidson",68,17.0,14.85,11.50,11.50,11.50,15.37,24.70,14.52,".",".",".",".",".","."
"11/24/2003","Gonzaga",90,"Denver",58,19.5,18.45,19.30,19.30,19.30,18.80,19.97,14.03,".",".",".",".",".","."
"11/24/2003","Pennsylvania",79,"Drexel",73,5.0,9.04,10.26,10.26,10.26,8.16,7.65,7.63,".",".",".",".",".","."
"11/24/2003","St. John's",59,"Fairfield",64,12.5,13.81,14.15,14.15,14.15,8.89,22.14,9.36,".",".",".",".",".","."
"11/24/2003","UAB",94,"Georgia Southern",73,13.0,14.51,12.09,12.09,12.09,12.06,23.05,15.67,".",".",".",".",".","."
"11/24/2003","Vanderbilt",73,"Indiana",60,3.5,-0.24,-2.92,-2.92,-2.92,1.25,2.03,4.03,".",".",".",".",".","."
"11/24/2003","UNLV",62,"Nevada",74,1.0,4.13,8.12,8.12,8.12,0.82,-1.31,0.92,".",".",".",".",".","."
"11/24/2003","Arizona",107,"Northern Arizona",73,24.0,25.58,24.26,24.26,24.26,24.77,29.11,26.79,".",".",".",".",".","."
"11/24/2003","Notre Dame",74,"Northern Illinois",65,16.5,17.41,17.58,17.58,17.58,18.52,16.95,16.24,".",".",".",".",".","."
"11/24/2003","Ohio St.",61,"San Diego St.",83,7.5,3.78,6.68,6.68,6.68,-3.56,6.57,-0.39,".",".",".",".",".","."
"11/24/2003","Richmond",66,"San Francisco",59,5.0,3.12,4.02,4.02,4.02,2.53,4.70,-0.60,".",".",".",".",".","."
"11/24/2003","Hawaii",56,"Santa Clara",43,4.0,12.31,11.42,11.42,11.42,11.36,16.97,11.25,".",".",".",".",".","."
