"date","home","hscore","road","rscore","line","lineavg","linesag","linesage","linesagp","linepom","linemoore","linegreen","lineopen","lineargh","linerpi","lineash"
"11/13/2004","Memphis",".","George Mason",".",15.5,14.11,12.31,12.31,12.31,12.23,19.57,".",".",".",".","."
"11/13/2004","New Mexico",".","Santa Clara",".",6.5,6.72,5.71,5.71,5.71,4.36,11.09,".",".",".",".","."
"11/15/2004","Creighton",74,"Alcorn St.",40.0,24.0,25.23,23.38,23.38,23.38,24.25,29.91,".",0.24,".",".","."
"11/15/2004","VA Commonwealth",82,"American",76.0,11.5,13.31,11.58,11.58,11.58,12.26,17.80,".",0.14,".",".","."
"11/15/2004","Michigan",59,"Binghamton",46.0,19.0,23.77,20.54,20.54,20.54,21.74,32.26,".",0.19,".",".","."
"11/15/2004","Missouri",68,"Brown",60.0,21.0,18.25,18.75,18.75,18.75,20.21,15.29,".",18.50,".",".","."
"11/15/2004","Colorado",72,"Charleston",57.0,6.0,8.57,8.88,8.88,8.88,8.79,7.73,".",0.07,".",".","."
"11/15/2004","Wake Forest",97,"George Washington",76.0,13.0,14.75,14.39,14.39,14.39,15.39,14.84,".",12.50,".",".","."
"11/15/2004","Marquette",60,"Illinois St.",32.0,11.5,14.57,16.21,16.21,16.21,10.68,15.20,".",0.14,".",".","."
"11/15/2004","Northern Arizona",67,"Iona",77.0,-8.5,0.18,0.49,0.49,0.49,0.13,-0.38,".",-5.50,".",".","."
"11/15/2004","South Carolina St.",80,"Jacksonville St.",72.0,2.0,0.28,-0.02,-0.02,-0.02,1.29,-0.14,".",0.06,".",".","."
"11/15/2004","Air Force",60,"Mississippi",36.0,5.0,0.37,-1.39,-1.39,-1.39,-0.08,4.35,".",4.50,".",".","."
"11/15/2004","Robert Morris",68,"Morgan St.",49.0,5.5,5.02,5.17,5.17,5.17,6.00,3.75,".",3.50,".",".","."
"11/15/2004","Houston",72,"Sam Houston St.",69.0,5.0,5.40,2.85,2.85,2.85,6.04,9.87,".",0.07,".",".","."
"11/15/2004","Ohio St.",74,"Towson",53.0,18.0,18.57,15.94,15.94,15.94,20.57,21.84,".",16.50,".",".","."
"11/15/2004","Penn St.",78,"Western Carolina",63.0,3.0,2.48,5.62,5.62,5.62,-1.25,-0.05,".",0.01,".",".","."
"11/16/2004","Marquette",69,"Air Force",65.0,5.0,7.16,10.16,10.16,10.16,3.83,4.50,".",5.50,".",".","."
"11/16/2004","Missouri",77,"Houston",61.0,12.5,16.55,18.16,18.16,18.16,15.40,14.48,".",0.14,".",".","."
"11/16/2004","Mississippi",52,"Illinois St.",70.0,1.0,5.83,7.44,7.44,7.44,2.37,6.07,".",-0.01,".",".","."
"11/16/2004","Creighton",68,"Iona",62.0,10.0,14.73,15.36,15.36,15.36,12.39,15.82,".",0.09,".",".","."
"11/16/2004","Western Carolina",74,"Jacksonville St.",90.0,4.5,-0.52,-1.12,-1.12,-1.12,2.25,-2.08,".",5.50,".",".","."
"11/16/2004","Providence",83,"Niagara",78.0,10.0,12.91,13.33,13.33,13.33,12.84,12.14,".",10.50,".",".","."
"11/16/2004","Pennsylvania",74,"Quinnipiac",60.0,16.0,20.93,19.23,19.23,19.23,21.31,23.94,".",0.23,".",".","."
"11/16/2004","Ohio St.",82,"Robert Morris",50.0,17.0,20.63,19.47,19.47,19.47,19.38,24.19,".",0.17,".",".","."
