date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,neutral,linepom,linemoore,linemass,linegreen,lineopen,lineargh,linedunk,linemarkov,linerpi,lineash
11/19/2005,DePaul,60,Bradley,75,0,11.03,10.11,10.11,10.11,0,12.37,11.53,,,,,,,,
11/19/2005,Nevada,82,CS Sacramento,74,21,22.98,21.46,21.46,21.46,0,24.03,24.95,,,,,,,,
11/19/2005,Washington St.,86,Cal Riverside,55,17,15.62,13.34,13.34,13.34,0,16.1,19.7,,,,,,,,
11/19/2005,Mississippi St.,64,Chattanooga,48,6,15.18,16.44,16.44,16.44,0,18.26,9.58,,,,,,,,
11/19/2005,North Carolina St.,91,Citadel,59,30,34.43,29.27,29.27,29.27,0,36.28,42.88,,,,,,,,
11/19/2005,Penn St.,66,Cornell,54,5.5,6.09,8.33,8.33,8.33,0,-2.59,10.3,,,,,,,,
11/19/2005,Duke,84,Davidson,55,26,23.81,22.28,22.28,22.28,0,23.95,26.73,,,,,,,,
11/19/2005,Southern Miss,30,Denver,44,-5.5,-5.37,-4.97,-4.97,-4.97,1,-3.54,-8.02,,,,,,,,
11/19/2005,Xavier,80,Eastern Illinois,35,21.5,22.78,20.13,20.13,20.13,0,22.51,28.35,,,,,,,,
11/19/2005,Hofstra,64,Florida International,51,11.5,12.59,11.92,11.92,11.92,0,12.44,14.07,,,,,,,,
11/19/2005,Rice,56,IUPUI,58,-0.5,4.16,4.02,4.02,4.02,1,6.11,2.48,,,,,,,,
11/19/2005,San Diego St.,63,Illinois-Chicago,66,6,-0.04,-1.98,-1.98,-1.98,1,-2.31,6.12,,,,,,,,
11/19/2005,Lamar,60,Kennesaw St.,79,,20.01,27.61,27.61,27.61,0,18.63,6.17,,,,,,,,
11/19/2005,Towson,67,Loyola-Maryland,80,3,10.03,12.92,12.92,12.92,0,7.16,7.12,,,,,,,,
11/19/2005,Seton Hall,75,Marist,72,12,18.49,16.54,16.54,16.54,0,20.71,20.17,,,,,,,,
11/19/2005,Hawaii,84,Michigan St.,62,-6.5,-9.8,-7.39,-7.39,-7.39,0,-9.22,-15.21,,,,,,,,
