date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,neutral,linepom,linemoore,linegreen,lineopen,linedok,linedunk,linefox,linerpi,lineash
11/17/2008,Siena,82,Boise St.,52,12.5,9.13,4.42,4.42,4.42,0,,21.48,,12.5,4.82,9.64,10,,
11/17/2008,George Mason,89,Brown,52,13.5,11.22,11.74,11.74,11.74,0,,9.09,,12.5,12.39,14.38,8,,
11/17/2008,Missouri,103,Chattanooga,75,14,16.07,13.44,13.44,13.44,0,,22.66,,14,14.29,18.58,14,,
11/17/2008,St. John's,86,Cornell,75,4,1.38,2.63,2.63,2.63,1,,0.71,,4,1.48,0.84,0.01,,
11/17/2008,Purdue,87,Eastern Michigan,58,21.5,21.09,18.69,18.69,18.69,0,,26.36,,20.5,19.73,24.07,19,,
11/17/2008,Arizona,75,Florida Atlantic,62,19,22.3,22.23,22.23,22.23,0,,22.43,,18,22.51,22.42,22,,
11/17/2008,Villanova,107,Fordham,68,21,20.89,16.02,16.02,16.02,0,,32.17,,21,17.72,23.41,20,,
11/17/2008,St. Mary's,99,Fresno St.,85,21.5,16.49,12.42,12.42,12.42,0,,23.27,,21.5,13.3,17.54,20,,
11/17/2008,Davidson,99,James Madison,64,15,20.35,19.02,19.02,19.02,1,,22.84,,16.5,16.16,22.05,23,,
11/17/2008,Mississippi St.,78,Louisiana-Monroe,49,18.5,23.89,22.36,22.36,22.36,0,,35.49,,18,22.12,16.01,25,,
11/17/2008,Georgia,53,Loyola-Chicago,74,6.5,6.88,7.04,7.04,7.04,1,,6.71,,7,5.36,4.13,11,,
11/17/2008,Boston College,90,Loyola-Maryland,57,15,12.77,13.47,13.47,13.47,0,,12.16,,14,15.06,10.47,12,,
11/17/2008,Memphis,80,Massachusetts,58,14,17.72,16,16,16,0,,19.72,,15,16.07,19.55,19,,
11/17/2008,Pittsburgh,82,Miami-Ohio,53,12.5,13.83,13.04,13.04,13.04,0,,14.37,,13,12.96,15.54,14,,
11/17/2008,Oklahoma,94,Miss Valley St.,53,30.5,31.52,25.42,25.42,25.42,0,,39.12,,30.5,32.26,33.91,33,,
11/17/2008,Oklahoma St.,100,North Texas,88,13,13.95,11.65,11.65,11.65,0,,18.3,,11,13.14,14.94,14,,
11/17/2008,Central Michigan,57,SW Missouri St.,60,1.5,-3.3,-5.71,-5.71,-5.71,0,,-1.1,,-1,-3.61,-3.69,0.01,,
11/17/2008,UAB,64,Santa Clara,61,9.5,7.87,6.2,6.2,6.2,1,,12.22,,10,6.24,6.35,10,,
11/17/2008,Marist,54,St. Bonaventure,77,5,8.38,12.53,12.53,12.53,0,,4.69,,5,13.17,1.34,6,,
11/17/2008,Xavier,81,Toledo,65,19,21.1,18.92,18.92,18.92,0,,23.59,,20,18.77,23.42,23,,
11/17/2008,NC Wilmington,107,Troy St.,95,9,12.58,11.08,11.08,11.08,0,,15.13,,10,11.62,13.57,13,,
11/17/2008,UC Santa Barbara,59,Utah St.,61,3.5,1.87,1.18,1.18,1.18,0,,-1.24,,4,2.2,6.88,1,,
11/18/2008,San Diego St.,52,Arizona St.,59,-3.5,2.2,4.13,3.33,5.01,0,,-0.65,,-3,4.33,0.16,1,,
11/18/2008,Pepperdine,53,BYU,82,-11.5,-9.67,-10.26,-12.08,-8.6,0,,-11.44,,-10,-6.8,-6.08,-13,,
11/18/2008,Canisius,64,Buffalo,69,-4,-3.2,-2.81,-3.38,-2.24,0,,-5.28,,-2.5,-2.1,,-3,,
11/18/2008,Stanford,103,CS Northridge,85,10.5,16.6,19.06,19.86,18.33,0,,21.16,,11,16.3,7.93,16,,
11/18/2008,Cal Riverside,61,CS Sacramento,49,8.5,10.27,5.16,5.86,4.43,0,,19.5,,8.5,6.55,,15,,
11/18/2008,Valparaiso,69,Central Florida,52,4,4.38,3.48,3.98,3.07,0,,8.41,,4.5,4.87,1.95,4,,
11/18/2008,Washington,78,Cleveland St.,63,10,8.52,7.12,5.44,8.75,0,,9.48,,11,12.38,6.1,9,,
11/18/2008,Providence,100,Dartmouth,82,24.5,22.08,20.41,19.96,20.91,0,,29.99,,24,21.27,19.35,21,,
11/18/2008,Oklahoma,82,Davidson,78,3.5,0.88,0.79,0.33,1.35,0,,-2.03,,3.5,4.74,,0.01,,
11/18/2008,Western Michigan,71,Detroit,58,8.5,8.45,-0.02,-5.42,3.91,0,,14.24,,8.5,10.51,14.45,13,,
11/18/2008,Georgia,61,Eastern Michigan,60,6,8.86,9.78,9.07,10.49,0,,10.15,,5,7.77,8.68,7,,
11/18/2008,Santa Clara,61,Florida Atlantic,65,5.5,8.6,9.66,7.86,11.54,0,,7.37,,6.5,6.22,,10,,
11/18/2008,La Salle,61,Florida St.,65,-2.5,-4.65,-6.77,-7.27,-6.45,0,,-6.18,,-3,-4,-4.99,1,,
11/18/2008,UTEP,96,Georgia Southern,79,11,6.9,1.62,-2.12,4.46,0,,14.72,,10.5,8.42,,9,,
11/18/2008,Gonzaga,80,Idaho,46,27.5,26.47,22.58,21.7,23.87,0,,35.55,,28,26.21,24.46,27,,
11/18/2008,Northern Illinois,86,Indiana St.,79,-4,-4.69,-3.09,-3.25,-2.99,0,,-6.86,,-3.5,-2.25,-7.79,-5,,
11/18/2008,North Carolina,77,Kentucky,58,18,20.39,17.02,18.04,15.92,0,,28.98,,16,13.96,23.44,22,,
11/18/2008,Purdue,78,Loyola-Chicago,46,18.5,17.55,10.94,10,12.2,0,,24.47,,19,14.39,19.23,25,,
11/18/2008,Cornell,82,Loyola-Maryland,72,4.5,8.76,6.74,6.4,7.11,0,,14.86,,4.5,3.41,,12,,
