date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,neutral,linemoore,lineopen,linedok,linedunk,linefox,linerpi,lineash
11/09/2009,Syracuse,75,Albany-NY,43,22,23.26,20.25,20.25,20.25,0,,20,21.78,24,30,,
11/09/2009,Ohio St.,100,Alcorn St.,60,37,37.77,35.95,35.95,35.95,0,,35,35.26,40.7,41,,
11/09/2009,North Carolina,88,Florida International,72,30,34.39,32.97,32.97,32.97,0,,30,33.48,33.52,39,,
11/09/2009,California,75,Murray St.,70,13.5,14.87,13.44,13.44,13.44,0,,15,14,18.46,15,,
11/11/2009,California,95,Detroit,61,18,19.75,19.48,19.84,19.11,0,22.91,19,18.56,17.09,21,,
11/11/2009,North Carolina,89,NC Central,42,46,45.74,40.24,40.41,40.07,0,48.11,43,43.72,52.12,50,,
11/11/2009,Syracuse,100,Robert Morris,60,18,20.52,19.64,19.65,19.61,0,18.79,17,20.11,23.93,21,,
11/12/2009,North Carolina St.,69,Georgia St.,53,10,15.85,16.56,16.55,16.54,0,14.2,10.5,15.63,14.19,18,,
11/12/2009,Ohio St.,72,James Madison,44,17.5,20.36,21.52,21.21,21.81,0,21.79,19,20.55,19.82,17,,
11/13/2009,Mississippi,92,Arkansas-Little Rock,64,15.5,13.12,12.22,12.22,12.22,0,19.62,13,12.02,11.62,11,,
11/13/2009,Tennessee,83,Austin Peay,54,24,20.69,18.38,18.38,18.38,0,28.18,23,19.33,17.87,22,,
11/13/2009,Portland St.,67,Belmont,74,5.5,2.19,-0.16,-0.15,-0.16,1,9.19,5.5,-0.66,6.93,-2,,
11/13/2009,BYU,70,Bradley,60,13,11.37,10.42,10.41,10.42,0,15.23,12,9.95,10.24,12,,
11/13/2009,Purdue,89,CS Northridge,64,22,17.36,15.4,15.4,15.41,0,23.34,22,16.11,15.89,18,,
11/13/2009,Rice,81,CS Sacramento,51,15.5,18.04,11.95,11.95,11.95,0,25.03,15,13.73,23.58,22,,
11/13/2009,San Francisco,73,Cal Poly SLO,62,11.5,7.76,6.54,6.54,6.54,0,14.2,9,5.14,6.14,8,,
11/13/2009,UC Davis,73,Colorado St.,91,1,-3.93,-6.73,-6.73,-6.73,1,0.05,-4,-6.16,-0.02,-4,,
11/13/2009,Boston College,89,Dartmouth,58,21,23.06,24.37,24.36,24.37,0,28.3,20,22.81,17.49,21,,
11/13/2009,St. Joseph's PA,77,Drexel,67,6,7.96,10.6,10.6,10.6,0,7.7,8,8.7,0.16,10,,
11/13/2009,Tulane,58,Georgetown,74,-9.5,-6.76,-11.84,-11.84,-11.85,0,-5.75,-13,-10.47,0.33,-1,,
11/13/2009,Kansas,101,Hofstra,65,26.5,24.08,23.6,23.6,23.61,0,28.04,27,23.58,21.65,24,,
11/13/2009,Utah,87,Idaho,94,11,16.84,17.7,17.71,17.71,0,18.3,15,16.45,14.89,16,,
11/13/2009,Iowa St.,88,Idaho St.,68,14,10.97,12.02,12.02,12.03,0,13.27,12,11.16,7.34,10,,
11/13/2009,LSU,82,Louisiana-Monroe,62,17,22.06,21.95,21.94,21.95,0,19.51,22,21.62,22.35,25,,
11/13/2009,Boise St.,90,Loyola Marymount,87,9,11.82,11.55,11.55,11.56,1,12.04,12,11.05,13.7,11,,
