date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,neutral,linepom,linemoore,linemass,linegreen,lineopen,linedok,linedunk,linefox,linerpi,linepig
11/10/2010,Maryland,75,Charleston,74,14,16.67,15.53,15.53,15.53,0,,19.01,16.9,,17,17.26,,16,,16
11/10/2010,Pittsburgh,97,Illinois-Chicago,54,23.5,24.09,21.49,21.49,21.49,0,,28.66,21.7,,22,19.81,,29,,28
11/10/2010,Texas,89,Louisiana Tech,58,20,18.75,19.15,19.15,19.15,0,,16.5,15.4,,20,18.97,,20,,20.5
11/10/2010,Illinois,84,Toledo,45,29,29.21,24.45,24.45,24.45,0,,41.99,26.1,,27,21.14,,34,,27
11/12/2010,Tulsa,86,Appalachian St.,89,7,8.38,10.03,10.03,10.03,0,,1.76,6.7,,9,9.06,,11,,
11/12/2010,Mississippi,68,Arkansas St.,60,15,15.98,16.79,16.79,16.79,0,,14.6,17.6,,18,16.72,,15,,
11/12/2010,SMU,47,Arkansas-Little Rock,57,10,9.16,7.1,7.1,7.1,0,,12.68,12.6,,11.5,8.94,,10,,
11/12/2010,Saint Louis,62,Austin Peay,64,9,12.74,9.48,9.48,9.48,0,,19.77,12.6,,8,9.99,,15,,
11/12/2010,Fordham,65,Brown,69,1.5,2.74,2.96,2.96,2.96,0,,2.01,3.2,,2.5,2.75,,3,,
11/12/2010,UCLA,83,CS Northridge,50,18,18.16,15.69,15.69,15.69,0,,25.36,13.3,,16,16.07,,18,,
11/12/2010,UNLV,85,Cal Riverside,41,20.5,24.29,19.47,19.47,19.47,0,,39.32,18.9,,15,19.19,,24,,
11/12/2010,Memphis,104,Centenary,40,,29.34,29.15,29.15,29.15,0,,28.71,25.7,,,27.68,,32,,
11/12/2010,Tennessee,82,Chattanooga,62,22,22.27,22.53,22.53,22.53,0,,19.94,22.3,,27,21.35,,25,,
11/12/2010,Richmond,79,Citadel,37,15,16.13,14.92,14.92,14.92,0,,14.45,14.7,,17,14.37,,22,,
11/12/2010,La Salle,82,Columbia,71,12.5,14.35,13.47,13.47,13.47,0,,16.09,14.4,,15,12.74,,16,,
11/12/2010,UC Santa Barbara,65,Denver,49,4,4.12,4.36,4.36,4.36,1,,5.72,4,,3,4.14,,2,,
11/12/2010,Loyola-Maryland,72,Drexel,75,1.5,0.86,-0.36,-0.36,-0.36,0,,0.16,-2,,-3,0.85,,4,,
11/12/2010,Loyola-Chicago,73,Eastern Kentucky,57,3,4.06,3.51,3.51,3.51,0,,7.69,2.9,,0,3.59,,2,,
11/12/2010,Michigan St.,96,Eastern Michigan,66,23,24.91,24.13,24.13,24.13,0,,29.74,20.3,,24,21.55,,25,,
11/12/2010,South Carolina,94,Elon,79,17.5,18.46,18.75,18.75,18.75,0,,20.75,16.3,,20,16.07,,18,,
11/12/2010,UC Davis,63,Florida Atlantic,70,-4,1.8,2.92,2.92,2.92,0,,1.98,0.8,,1,-1.82,,3,,
11/12/2010,BYU,83,Fresno St.,56,22,21.61,18.35,18.35,18.35,0,,30.45,18.7,,19,18.89,,22,,
11/12/2010,Old Dominion,59,Georgetown,62,-1,-0.55,-1.58,-1.58,-1.58,0,,-0.79,-1.6,,-3,-1.82,,3,,
11/12/2010,Notre Dame,98,Georgia Southern,61,24.5,22.9,19.57,19.57,19.57,0,,32.27,25.4,,25,23.07,,20,,
11/12/2010,Notre Dame,98,Georgia Southern,61,24.5,24.32,19.57,19.57,19.57,0,,32.39,25.4,,25,23.07,,27,,
11/12/2010,Colorado,88,Idaho St.,80,20,20.91,13.63,13.63,13.63,0,,37.78,18.1,,15,13.52,,26,,
11/12/2010,Kent St.,73,Iona,72,2.5,2.48,5.18,5.18,5.18,1,,-7.11,2.2,,6.5,6.15,,3,,
11/12/2010,Kansas St.,75,James Madison,61,20.5,22.41,22,22,22,0,,20.31,23.8,,22,21.74,,26,,
11/12/2010,Texas Tech,86,Louisiana-Monroe,67,23,21.26,19.72,19.72,19.72,0,,27.84,20.6,,20,18.01,,21,,
11/12/2010,VA Commonwealth,101,NC Greensboro,86,19.5,23.49,19.87,19.87,19.87,0,,36.3,20,,18,18.41,,23,,
11/12/2010,Florida,77,NC Wilmington,60,26,24.19,20.29,20.29,20.29,0,,29.2,18.4,,23,20.19,,31,,
11/12/2010,Louisiana-Lafayette,76,New Mexico St.,92,-1,-4.37,-4.01,-4.01,-4.01,0,,-5.27,-5.3,,-3,-3.54,,-5,,
11/12/2010,Oregon,97,North Dakota St.,92,11,11.32,9.92,9.92,9.92,0,,16.8,10.9,,11,8.97,,11,,
11/12/2010,Iowa St.,78,Northern Arizona,64,8,14.04,13.36,13.36,13.36,0,,16.23,15.8,,8,13.26,,14,,
11/12/2010,Syracuse,68,Northern Iowa,46,11,12.06,10.71,10.71,10.71,0,,11.63,10.5,,10,11.27,,16,,
