date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,neutral,linepom,linemoore,linemass,linepugh,lineopen,linedok,linedunk,linefox,linerpi,linepig
11/07/2011,Mississippi St.,76,Eastern Kentucky,66,17,14.54,13.78,13.78,13.78,0,,17.78,14.6,15.09,15,13.77,,13,,19.5
11/07/2011,Arizona,73,Valparaiso,64,13.5,14.42,14.25,14.25,14.25,0,,15.6,14.1,15.48,12,13.25,,14,,17
11/07/2011,St. John's,74,William & Mary,59,8,14.39,14.36,14.36,14.36,0,,6.74,17.5,16.08,10,14.72,,17,,14.5
11/09/2011,Mississippi St.,58,Akron,68,7.5,6.18,6.37,6.37,6.37,0,,1.56,6.6,7.52,7,7.87,,7,,7.5
11/09/2011,Arizona,67,Duquesne,59,9,9.28,10.46,10.46,10.46,0,,6.69,10.5,9.57,9,8.25,,9,,20
11/09/2011,St. John's,78,Lehigh,73,13.5,16.22,16.05,16.05,16.05,0,,10.37,18,18.16,12,13.88,,21,,13.5
11/09/2011,Texas A&M,81,Liberty,59,19.5,21.59,21.05,21.05,21.05,0,,22.63,20.1,23.91,18.5,21.38,,21,,20
11/11/2011,Tulsa,65,Arkansas-Little Rock,49,13,14.43,13.95,13.95,13.95,0,,15.47,14.3,15.67,11.5,14.66,,13,,16.5
11/11/2011,Air Force,87,Army,71,12.5,13.54,11.86,11.86,11.86,0,,17.66,13,9.97,11.5,12.4,,18,,20.5
11/11/2011,Middle Tenn St.,80,Austin Peay,71,2.5,2.12,2.22,2.22,2.22,0,,0.82,1.6,2.75,-1,3.25,,2,,-0.5
11/11/2011,Utah St.,69,BYU,62,1,-1.05,-0.61,-0.61,-0.61,0,,-9.21,0.8,-2.43,3,1.73,,3,,2.5
11/11/2011,Duke,77,Belmont,76,11.5,15.05,17.51,17.51,17.51,0,,8.1,15.7,19.78,12,13.75,,13,,14.5
11/11/2011,USC,66,CS Northridge,59,16,18.4,16.4,16.4,16.4,0,,25.53,18.5,18.6,16.5,16.38,,17,,16
11/11/2011,Connecticut,70,Columbia,57,23,27.61,25.6,25.6,25.6,0,,33.14,25.1,27.9,24,25.93,,30,,31.5
11/11/2011,St. Bonaventure,79,Cornell,58,7.5,4.21,2.46,2.46,2.46,0,,7.41,5.3,2.83,7.5,2,,7,,14
11/11/2011,Rutgers,62,Dartmouth,56,19.5,22.51,20.69,20.69,20.69,0,,21.92,22.6,23.66,21,21.98,,26,,25
11/11/2011,Indiana St.,79,Eastern Illinois,72,15,17.12,14.46,14.46,14.46,0,,28.56,17.2,13.84,16,15.3,,16,,20.5
11/11/2011,Gonzaga,77,Eastern Washington,69,21,23.64,23.93,23.93,23.93,0,,24.66,22.6,26.28,21,24.09,,20,,20.5
11/11/2011,Massachusetts,85,Elon,67,8,6.79,10.48,10.48,10.48,0,,-4.82,9.1,10.7,8,8.57,,3,,8.5
11/11/2011,Oklahoma,78,Idaho St.,74,17,19.55,17.88,17.88,17.88,0,,29.55,16.7,19.26,17.5,18.55,,17,,17
11/11/2011,Fresno St.,55,Illinois St.,47,2.5,3.58,2.07,2.07,2.07,0,,2.92,6.8,1.41,4,2.81,,7,,4
11/11/2011,Eastern Michigan,68,Illinois-Chicago,57,5.5,2.53,1.43,1.43,1.43,0,,7.97,2.3,0.83,3,1.72,,2,,-1.5
11/11/2011,Northern Arizona,66,Louisiana-Lafayette,83,-3.5,2.11,3.27,3.27,3.27,1,,-4.37,5.7,-0.44,-2,4.33,,3,,-2
11/11/2011,Mississippi,60,Louisiana-Monroe,38,22,24.85,22.91,22.91,22.91,0,,32.47,23.3,25.57,22.5,23.79,,23,,23
11/11/2011,UCLA,58,Loyola Marymount,69,14,17.87,18.27,18.27,18.27,0,,17.86,17,17.86,15,18.82,,17,,21
11/11/2011,Illinois,67,Loyola-Chicago,49,15.5,17.35,16.85,16.85,16.85,0,,15.39,17.9,19.25,15,18.22,,17,,94.5
11/11/2011,Wake Forest,75,Loyola-Maryland,63,2,5.18,8.6,8.6,8.6,0,,-0.5,2.7,10.71,2,6.16,,0.01,,2.5
11/11/2011,Kentucky,108,Marist,58,35,33.14,31.98,31.98,31.98,0,,29.68,32.3,36.3,34.5,33.71,,36,,37
11/11/2011,Colorado St.,64,Montana,58,6,6.1,4.88,4.88,4.88,0,,4.83,9.1,5.44,8,5.6,,8,,8
11/11/2011,Arizona St.,78,Montana St.,72,13.5,16.49,14.82,14.82,14.82,0,,24.1,14.6,17.87,12,15.22,,14,,15
11/11/2011,Tennessee,92,NC Greensboro,63,15,20.55,22.83,22.83,22.83,0,,10.39,20.9,26.42,14,22.49,,18,,10.5
11/11/2011,Michigan St.,55,North Carolina,67,-9,-4.87,-3.31,-3.31,-3.31,1,,-9.93,-4,0.39,-10.5,-7.96,,-6,,-11.5
11/11/2011,San Francisco,65,North Dakota St.,73,9,5.99,4.39,4.39,4.39,0,,11.17,7.8,4.28,10.5,3.93,,6,,12.5
11/11/2011,Purdue,96,Northern Illinois,34,26.5,30.21,27.32,27.32,27.32,0,,41.14,29.2,29.44,26,28.05,,29,,26.5
11/11/2011,Vanderbilt,78,Oregon,64,13.5,11.12,10.75,10.75,10.75,0,,13.5,10.9,11.66,12.5,11.29,,9,,15
11/11/2011,Denver,69,Portland St.,61,12,7.55,3.79,3.79,3.79,0,,18.85,6.4,4.64,11.5,6.37,,9,,8.5
11/11/2011,George Mason,92,Rhode Island,90,11,6.69,5.88,5.88,5.88,0,,15.05,3.3,-1.88,10.5,8.62,,10,,16.5
11/11/2011,Missouri,83,SE Missouri St.,68,24,27.91,28.15,28.15,28.15,0,,32.73,26.4,33.14,25,27.82,,19,,24
11/11/2011,Nevada,46,SW Missouri St.,68,7.5,0.76,-0.4,-0.4,-0.4,0,,7.83,-1.2,-0.63,5.5,1.14,,-1,,11.5
11/11/2011,UC Davis,75,Southern Utah,76,1.5,5.05,5.85,5.85,5.85,0,,3.57,6.4,7.16,1.5,2.55,,4,,5.5
11/11/2011,Western Kentucky,61,St. Joseph's PA,-3,-3,1.09,3.71,3.71,3.71,0,,-8.15,0.9,3.19,-2,3.29,,1,,
11/11/2011,Buffalo,72,St. Peter's,11,11,5.92,6.97,6.97,6.97,0,,7.33,4.2,6.54,10.5,6.46,,3,,4.5
11/11/2011,Saint Louis,71,Tennessee St.,37,14,13.44,12.65,12.65,12.65,0,,16.95,12.4,14.77,11,12.63,,12,,14
11/11/2011,Miami-Florida,69,Tennessee Tech,58,10,17.11,17.74,17.74,17.74,0,,18.59,17.6,21.02,13.5,17.06,,10,,11
11/11/2011,Louisville,83,Tennessee-Martin,48,28,29.89,28.61,28.61,28.61,0,,33.31,29.5,32.76,27,29.46,,27,,27.5
11/11/2011,Kansas,100,Towson,54,32,32.76,31.62,31.62,31.62,0,,35.29,31.1,34.67,30.5,29.04,,36,,28
11/11/2011,Texas Tech,90,Troy St.,85,12.5,15.63,13.65,13.65,13.65,0,,17.2,16.7,15.27,13.5,14.94,,18,,13.5
11/11/2011,California,77,UC Irvine,56,23,19.12,17.92,17.92,17.92,0,,26,18,20.67,19,17.31,,16,,23.5
11/11/2011,Georgia Southern,81,Valparaiso,90,-3.5,-11.46,-9.59,-9.59,-9.59,0,,-10.01,-14.2,-12.37,-6.5,-10.43,,-14,,-7
11/11/2011,South Carolina,75,Western Carolina,50,8.5,10.05,10.45,10.45,10.45,0,,10.69,9.1,12.63,9,10.06,,7,,8
11/11/2011,Georgia,62,Wofford,49,11.5,7.19,7.34,7.34,7.34,0,,7.72,7.9,8.25,10.5,7.79,,4,,8
11/11/2011,Ohio St.,73,Wright St.,42,27,22.33,18.81,18.81,18.81,0,,30.99,22.9,20.61,27,20.21,,24,,105.2
11/12/2011,Citadel,,Army,-2,-2,3.98,5.62,5.62,5.62,0,,0.08,,,-136.5,-0.43,,9,,-1
11/12/2011,Evansville,80,Butler,77,-3.5,-9.16,-10.33,-10.33,-10.33,0,,-6.05,-7.8,-10.29,-3,-8.32,,-11,,-3
11/12/2011,Portland,70,Florida Atlantic,65,-2,6.32,9.84,9.84,9.84,0,,0.52,6,6.08,-1,5.96,,6,,
11/12/2011,Syracuse,78,Fordham,53,24.5,30.25,28.94,28.94,28.94,0,,33.03,27.5,33.42,26.5,29.95,,30,,35
11/12/2011,Washington,91,Georgia St.,74,16.5,22.55,21.61,21.61,21.61,0,,18.83,22,25.8,17.5,23.01,,25,,23
11/12/2011,Long Beach St.,69,Idaho,61,13,7.49,6.26,6.26,6.26,0,,15.24,7.1,4.64,12,5.92,,7,,9
11/12/2011,Louisiana-Lafayette,58,North Dakota St.,78,-2.5,0.85,0.71,0.71,0.71,0,,1.98,-3,-0.23,-143,0.75,,5,,5.5
11/12/2011,San Francisco,69,Northern Arizona,50,11.5,6.73,4.22,4.22,4.22,0,,16.89,5.1,4.95,6.5,7.76,,4,,11
11/12/2011,Old Dominion,46,Northern Iowa,63,4,6.89,6.81,6.81,6.81,0,,4.26,9.3,4.99,4.5,8.05,,8,,7
11/12/2011,Duke,96,Presbyterian,55,29.5,32.47,33.26,33.26,33.26,0,,31.83,30.8,38.34,30,29.8,,30,,32.5
11/12/2011,Cal Poly SLO,79,San Jose St.,52,6.5,2.64,2.05,2.05,2.05,0,,5.32,2.9,0.34,6,2.85,,3,,5.5
11/12/2011,Mississippi St.,80,South Alabama,65,15.5,17.31,15.55,15.55,15.55,0,,22.83,15.8,18.1,17,16.33,,17,,
11/12/2011,San Diego St.,70,Southern Utah,37,17.5,25.11,26.11,26.11,26.11,0,,20.56,28.1,28.15,22.5,21.71,,25,,19.5
11/12/2011,Air Force,,VMI,8,8,8.4,9.29,9.29,9.29,0,,8.84,,,-152,7.6,,7,,12.5
11/12/2011,Samford,69,Youngstown St.,76,-2,-0.81,1.58,1.58,1.58,0,,-4.28,-1.2,-0.5,-1,0.18,,-3,,-4
11/13/2011,Arizona,73,Ball St.,63,13,18.54,19.22,19.59,18.87,0,,15.54,19.6,19.03,15,18.14,,19,,20.5
11/13/2011,Georgia,63,Bowling Green,54,10,15.1,14.76,14.72,14.8,0,,10.03,16,15.58,11.5,16.6,,18,,12
11/13/2011,UTEP,52,Cal Riverside,41,8.5,16.71,18.87,18.92,18.74,0,,6.84,18.2,19.84,9.5,17.45,,17,,8.5
11/13/2011,James Madison,82,Canisius,73,12,8.98,7.87,7.93,7.75,0,,17.52,8.9,7.1,11,7.66,,6,,14
11/13/2011,Indiana,78,Chattanooga,53,17.5,16.87,14.92,14.88,14.91,0,,23.53,16.3,16.86,15.5,15.59,,16,,92.1
11/13/2011,Vanderbilt,58,Cleveland St.,71,14,11.46,11.5,11.43,11.64,0,,14.14,9,11.76,15.5,11.22,,11,,19
11/13/2011,Washington,77,Florida Atlantic,71,14,20.63,20.53,20.68,20.38,0,,17.71,20.9,25.6,14,18.16,,21,,17
11/13/2011,California,81,George Washington,54,12.5,12.77,12.81,12.71,12.9,0,,10.92,12.3,14.85,12,14.68,,11,,17.5
11/13/2011,Portland,66,Georgia St.,61,3.5,7.06,11.05,11.23,10.86,0,,3.39,7.3,6.28,2.5,2.36,,8,,6
11/13/2011,Marshall,58,Jacksonville St.,44,20.5,18.97,19.18,19.33,18.92,0,,26.91,18.7,18.86,20.5,17.08,,13,,22
11/13/2011,San Francisco,71,Louisiana-Lafayette,70,9,8.29,7.29,6.9,7.7,0,,12.43,10.9,7.51,8,6.58,,6,,10
11/13/2011,Loyola Marymount,51,Middle Tenn St.,58,5.5,2.33,1.85,1.77,1.92,0,,4.05,4.2,1.11,3.5,3.25,,0.01,,8
11/13/2011,North Carolina St.,91,Morehead St.,61,13,7.31,8.94,9.03,8.88,0,,11.38,6,8.78,10,6.08,,1,,16
11/13/2011,Maryland,71,NC Wilmington,62,13.5,19.64,20.07,20.35,19.61,0,,15.86,16.9,23.59,15,21.19,,20,,10.5
11/13/2011,NC Asheville,75,North Carolina,91,-17.5,-16.33,-16.23,-16.32,-16.13,0,,-18.53,-13,-20.77,-16,-18.58,,-11,,
11/13/2011,Northern Arizona,58,North Dakota St.,70,-8.5,-2.08,0.89,0.94,0.83,0,,-6.29,2.7,-3.68,-5.5,-10.09,,1,,-8
11/13/2011,Pittsburgh,86,Rider,78,22.5,21.33,20.45,20.08,20.84,0,,20.46,19.8,22.61,22,21.5,,24,,21.5
11/13/2011,Ohio,74,Tennessee-Martin,65,18,15.34,14.61,14.38,14.82,0,,16.37,15.9,16.59,16,15.34,,14,,13.5
11/13/2011,San Diego St.,89,UC Davis,74,19.5,24.4,24.66,24.84,24.5,0,,23.09,25.5,23.99,20.5,21.87,,27,,19
11/13/2011,Duquesne,84,Wisconsin-Green Bay,66,12,9.91,9.13,9.01,9.29,0,,11.98,10.7,8.9,11,9.47,,10,,3
11/14/2011,Albany-NY,77,Brown,68,-1.5,1.42,2.24,3.9,0.36,1,,1.71,1.2,,1.5,1.32,,0.01,,0.5
11/14/2011,Florida St.,73,Central Florida,50,10,13.75,13.5,13.92,13.13,0,,10.01,15.7,,12.5,13.72,,16,,11
11/14/2011,Notre Dame,59,Detroit,53,7,14.37,15.5,16.02,15.01,0,,9.03,15.7,,9.5,17.46,,13,,7
11/14/2011,George Mason,76,Florida International,79,12.5,19.27,19,20.82,17.32,1,,20.16,22.1,,15,19.24,,16,,22.5
