date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,neutral,lineseven,linemoore,linepugh,lineopen,linedok,linefox,linepig
11/09/2012,Indiana,97,Bryant,54,33,35.74,32.82,32.82,32.82,0,,40.54,35.9,33.5,34.33,38,
11/09/2012,Purdue,65,Bucknell,70,5.5,11.75,13.27,13.27,13.27,0,,7.67,12.66,8,10.62,13,
11/09/2012,TCU,53,Cal Poly SLO,46,2.5,6.26,6.81,6.81,6.81,0,,7.86,5.68,4.5,5.38,5,
11/09/2012,DePaul,91,Cal Riverside,59,18,15.36,15.68,15.68,15.68,0,,25.49,12.4,16,8.91,14,
11/09/2012,Iona,65,Denver,58,3,6.32,3.97,3.97,3.97,0,,8.57,6.63,3.5,6.8,8,
11/09/2012,Kent St.,66,Drexel,62,-8.5,-4.93,-3.7,-3.7,-3.7,0,,-17.01,-1.08,-4.5,-2.06,-2,
11/09/2012,Bradley,76,Eastern Illinois,53,15,9.85,4.54,4.54,4.54,0,,26.7,9.17,14.5,7.15,7,
11/09/2012,Texas St.,86,Fordham,76,2,0.9,-1.83,-1.83,-1.83,0,,-6.74,1.27,3,5.52,9,
11/09/2012,Texas,55,Fresno St.,53,12,16.5,15.89,15.89,15.89,0,,17.24,18.04,15,14.92,17,
11/09/2012,Valparaiso,85,Georgia Southern,54,14,12.64,12.44,12.44,12.44,0,,17.58,12.32,12.5,10.05,11,
11/09/2012,Duke,74,Georgia St.,55,19.5,17.74,21.49,21.49,21.49,0,,23.96,16.36,20.5,12.12,11,
11/09/2012,Auburn,61,IUPU-Fort Wayne,50,10.5,14,11.25,11.25,11.25,0,,26.74,12.6,8,10.13,12,
11/09/2012,UCLA,86,Indiana St.,59,16.5,14.45,15.8,15.8,15.8,0,,21.96,10.72,16.5,10.39,12,
11/09/2012,Texas A&M,71,Louisiana Tech,59,6.5,9.94,10.96,10.96,10.96,0,,6.65,12.3,9,9.78,9,
11/09/2012,Kentucky,72,Maryland,69,10.5,14.53,11.05,11.05,11.05,1,,10.19,20.32,15,17.55,17,
11/09/2012,North Carolina St.,97,Miami-Ohio,59,21,20.18,24.93,24.93,24.93,0,,23.49,15.94,18,12.77,19,
11/09/2012,Connecticut,66,Michigan St.,62,-7.5,-8.89,-4.73,-4.73,-4.73,1,,-18.32,-9.73,-7,-7.82,-8,
11/09/2012,Troy St.,56,Mississippi St.,53,-6,-7.68,-4.52,-4.52,-4.52,0,,-0.01,-18.92,-5,-11.09,-7,
11/09/2012,Seton Hall,75,Mo Kansas City,36,17.5,16.94,12.27,12.27,12.27,1,,19.75,21.77,16.5,19.61,16,
11/09/2012,Colorado St.,72,Montana,65,8.5,6.06,6.73,6.73,6.73,0,,7.83,5.03,10,5.06,5,
11/09/2012,Oregon St.,102,Niagara,83,12,13.49,8.66,8.66,8.66,0,,15.56,18.09,11.5,11.94,18,
