date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,linesaggm,linemoore,lineopen,linedok,linefox,std,linepugh,linedonc,neutral,lineashby,lineprophet,linepir,linepiw,linepib,line7ot,lineer
11/14/2014,Alabama,82,Towson,54,14.5,11.75,12.84,12.84,12.84,12.84,17.27,14.5,14.11,9,3.83,10.98,3,0,17,,,,,,
11/14/2014,Arizona,78,Mount St. Marys,55,28.5,26.19,26.1,26.1,26.1,26.1,33.05,26,25.83,27,4.6,30.4,15,0,31,,,,,,
11/14/2014,Arizona St.,86,Chicago St.,50,22.5,21.95,21.61,21.61,21.61,21.61,29.49,23.5,24.15,20,4.47,25.46,12,0,24,,,,,,
11/14/2014,Army,84,Air Force,78,5,4.7,3.63,3.63,3.63,3.63,11,5,5.5,4,2.67,0.77,6.5,0,4,,,,,,
11/14/2014,Auburn,83,Wisconsin-Milwaukee,73,10.5,8.44,10.32,10.32,10.32,10.32,2.36,10,12.04,4,3.19,9.77,6.5,0,8,,,,,,
11/14/2014,BYU,95,Long Beach St.,90,13,12.46,13.3,13.3,13.3,13.3,13.94,13,12.74,11,1.61,12.77,8.5,0,12,,,,,,
11/14/2014,Bradley,75,Texas Arlington,86,4,5.45,3.81,3.81,3.81,3.81,11.53,4,4.18,6,2.45,5.11,7,0,6,,,,,,
11/14/2014,Brown,70,St. Peter's,58,4,4.86,2.28,2.28,2.28,2.28,9.06,4,4.49,8,2.6,7.03,6,0,4,,,,,,
11/14/2014,Buffalo,69,South Dakota St.,67,3.5,4.78,4.43,4.43,4.43,4.43,6.82,3.5,3.01,5,1.05,5.5,5,0,6,,,,,,
11/14/2014,California,91,Alcorn St.,57,22.5,24.17,24.38,24.38,24.38,24.38,29.8,22.5,24.71,25,4.55,27.98,12.5,0,25,,,,,,
11/14/2014,Citadel,65,VMI,66,-5,-8.43,-6.7,-6.7,-6.7,-6.7,-9.79,5,-4.82,-12,5.15,-14.45,-8,1,-5,,,,,,
11/14/2014,Colorado,65,Drexel,48,14.5,13.39,15.04,15.04,15.04,15.04,18.43,14,13.46,8,3.26,12.44,8,0,15,,,,,,
11/14/2014,DePaul,72,Illinois-Chicago,71,10.5,9.59,9.74,9.74,9.74,9.74,13.02,10.5,10.81,6,1.87,10.06,7.5,0,10,,,,,,
11/14/2014,Duke,113,Presbyterian,44,37,35.76,36.73,36.73,36.73,36.73,37.96,34,36.91,34,4.64,42.08,24,0,32,,,,,,
11/14/2014,Elon,64,Florida Atlantic,58,1.5,2.74,1.76,1.76,1.76,1.76,-3.1,1.5,2.98,7,2.86,4.22,6.5,0,0.01,,,,,,
11/14/2014,Florida,68,William & Mary,45,18,20.95,20.02,20.02,20.02,20.02,21.78,20,19.25,25,2.59,25.48,17,0,22,,,,,,
11/14/2014,Furman,40,Charleston,75,-5.5,-6.44,-6.39,-6.39,-6.39,-6.39,-2.31,5.5,-4.39,-10,4.87,-12.73,-3,0,-5,,,,,,
11/14/2014,George Mason,60,Cornell,68,12.5,15.81,14.63,14.63,14.63,14.63,17.3,12.5,15.24,20,2.47,18.7,12.5,0,16,,,,,,
11/14/2014,Georgia Tech,80,Georgia,73,1.5,-0.42,-1.26,-1.26,-1.26,-1.26,-3.1,1.5,2.57,0.01,1.69,0.74,1,0,2,,,,,,
11/14/2014,Gonzaga,104,CS Sacramento,58,23.5,22.53,22.71,22.71,22.71,22.71,23.04,23.5,26.1,22,3.42,26.77,14,0,22,,,,,,
11/14/2014,IUPUI,66,Indiana St.,79,-10.5,-10.27,-9.06,-9.06,-9.06,-9.06,-15.28,10.5,-9.3,-10,7.14,-15.14,-6.5,0,-9,,,,,,
11/14/2014,Illinois,80,Georgia Southern,71,23.5,22.78,22.49,22.49,22.49,22.49,35.48,23.5,22.78,21,5.72,24.31,11.5,0,27,,,,,,
11/14/2014,Indiana,116,Miss Valley St.,65,27,30.97,31.24,31.24,31.24,31.24,45.03,28.5,28.38,31,7.28,34.4,15,0,30,,,,,,
11/14/2014,Iona,78,Cleveland St.,73,6.5,5.61,5.86,5.86,5.86,5.86,0.46,6.5,8.19,6,1.97,6.4,6,0,3,,,,,,
11/14/2014,Iowa St.,93,Oakland,82,20,18.51,17,17,17,17,23.34,20,19.56,20,2.91,22.15,13.5,0,20,,,,,,
