date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,linesaggm,linemoore,lineopen,linedok,linefox,std,linepugh,linedonc,neutral,lineashby,lineprophet,linepir,linepiw,linepib,line7ot,lineer,linedd,linemassey
11/17/2015,Dayton,80,Alabama,48,10,11.12,13.82,11.32,11.79,14.34,12.16,7.5,8.33,7,2.74,13.04,8.3,0,10,,,,,,,,
11/17/2015,Pacific,76,Cal St. Fullerton,77,6,11.67,11.33,10.99,12.09,11.4,23.11,8,5.64,10,4.82,13.6,6.9,0,11,,,,,,,,
11/17/2015,Auburn,84,Colorado,91,1,-0.32,-0.43,1.19,2.31,-0.75,-2.48,2,-1.24,2,1.81,-2.07,-1.4,0,-3,,,,,,,,
11/17/2015,Marist,73,Dartmouth,63,-2.5,-0.69,-0.85,-0.93,-2.1,-0.83,3.22,-1.5,-0.48,-2,1.58,-0.01,-2.2,0,2,,,,,,,,
11/17/2015,Penn St.,68,DePaul,62,5,6.3,3.58,4.46,3.71,3.44,7.28,5,6.89,11,3,4.78,11.6,0,6,,,,,,,,
11/17/2015,Kentucky,74,Duke,63,1.5,0.7,0.2,1.17,0.85,0.07,-3.3,2,4.43,0.01,1.95,1.84,1,1,2,,,,,,,,
11/17/2015,Appalachian St.,70,Furman,79,3.5,4.38,4.84,5.33,5.11,4.76,0.6,3.5,3.92,5,1.53,3.69,6.2,0,3,,,,,,,,
11/17/2015,Maryland,75,Georgetown,71,8,8.34,11.26,8.74,12.12,11.62,4.93,7,10.5,3,3.51,9.88,3,0,7,,,,,,,,
11/17/2015,Ohio St.,82,Grambling St.,55,38,37.9,35.04,39.01,38.42,34.65,42.11,38,37.15,39,2.26,39.63,36.1,0,39,,,,,,,,
11/17/2015,Western Illinois,84,Illinois-Chicago,57,6.5,3.65,3.55,0.49,5.27,4.06,3.78,6,5.16,2,3.08,9.82,-1.3,0,5,,,,,,,,
11/17/2015,Oregon St.,93,Iona,73,7,7.19,9.58,6.91,8.23,10.08,6.2,7,5.19,5,3.47,13.18,0.3,0,4,,,,,,,,
