date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,linesaggm,linemoore,lineopen,linedok,linefox,std,linepugh,linedonc,neutral,lineashby,lineespn,linepir,linepiw,linepib,line7ot,lineer,linedd,linemassey,linedunk,lineround,lineteamrnks
11/11/2016,Alabama,70,Coastal Carolina,53,12.5,12.31,13.46,13.46,13.46,13.46,11.7,13,12.45,10,1.43,11.8,9.7,0,,13.09,,,,,,,12.84,,,
11/11/2016,Arizona,65,Michigan St.,63,-1,-0.92,-0.03,-0.03,-0.03,-0.03,-0.3,-1.5,-1.91,-5,1.61,-1.24,0.4,1,,0.63,,,,,,,-2.6,,,
11/11/2016,Arizona St.,88,Portland St.,70,18,16.11,16.07,16.07,16.07,16.07,19.49,17.5,15.19,14,1.6,18.53,16.1,0,,12.35,,,,,,,17.26,,,
11/11/2016,Arkansas,92,IPFW,83,15,10.65,11.05,11.05,11.05,11.05,8.62,12,13.15,9,1.81,13.72,8.4,0,,10.14,,,,,,,9.97,,,
11/11/2016,Baylor,76,Oral Roberts,61,17,18.62,19.53,19.53,19.53,19.53,18.07,16.5,17.12,21,1.92,21.81,15.9,0,,14.42,,,,,,,18.36,,,
11/11/2016,California,82,South Dakota St.,53,12,12.2,11.86,11.86,11.86,11.86,13.95,12.5,11.1,12,0.84,11.51,10.9,0,,16.36,,,,,,,10.89,,,
11/11/2016,Charleston,81,Citadel,68,22,17.48,16.32,16.32,16.32,16.32,30.5,19.5,15.89,18,4.53,18.21,14.7,0,,14.38,,,,,,,15.33,,,
11/11/2016,Cincinnati,84,Brown,55,22.5,22.94,27.1,27.1,27.1,27.1,17.58,21,22.32,22,3.38,23.24,21.1,0,,16.58,,,,,,,21.09,,,
11/11/2016,Clemson,74,Georgia,64,4.5,4.38,0.66,0.66,0.66,0.66,6.73,6,6.43,7,3.02,4.54,7.3,0,,7.32,,,,,,,6.25,,,
11/11/2016,Colorado,90,CS Sacramento,53,20.5,21.06,21.41,21.41,21.41,21.41,24.31,20,18.84,22,1.42,21.62,20.4,0,,17,,,,,,,21.83,,,
11/11/2016,Dayton,96,Austin Peay,68,19.5,18.76,21.01,21.01,21.01,21.01,21.48,20.5,19.36,14,2.69,20.8,15.1,0,,17.2,,,,,,,14.33,,,
11/11/2016,Drake,74,South Dakota,79,5,3.15,-1.12,-1.12,-1.12,-1.12,20.42,6.5,4.48,2,6.58,3.21,1,0,,5.85,,,,,,,2.13,,,
11/11/2016,Duke,94,Marist,49,31,30.46,31.46,31.46,31.46,31.46,24.54,26.5,32.79,27,3.03,33.36,27.9,0,,31.26,,,,,,,32.4,,,
11/11/2016,East Tennessee St.,96,Fordham,59,6.5,2.6,2.3,2.3,2.3,2.3,-3.64,4.5,4.13,7,2.84,-0.21,3.3,0,,4.99,,,,,,,3.78,,,
11/11/2016,Eastern Kentucky,97,IUPUI,87,1.5,3.72,1.89,1.89,1.89,1.89,-0.25,1,7.71,8,2.95,6.53,4,0,,3.04,,,,,,,4.32,,,
11/11/2016,Florida Atlantic,57,Texas St.,61,-1,-2.29,0.63,0.63,0.63,0.63,-0.49,-1,-3.65,-8,3.22,-4.82,-6,1,,-0.09,,,,,,,-4.65,,,
11/11/2016,Fresno St.,69,Texas San Antonio,66,15.5,19.51,18.73,18.73,18.73,18.73,17.62,14.5,18.33,22,2.2,20.59,22,0,,16.48,,,,,,,22.66,,,
11/11/2016,Georgia Tech,70,Tennessee Tech,55,8,14.78,11.94,11.94,11.94,11.94,19.47,12,14.88,19,3.2,18.02,16.2,0,,8.23,,,,,,,18.97,,,
11/11/2016,Hawaii,68,SIU Edwardsville,69,10,14.26,7.07,7.07,7.07,7.07,14.14,11,18.82,19,6.16,21.39,20.5,1,,,,,,,,,20.42,,,
11/11/2016,Illinois,81,SE Missouri St.,62,24,20.23,19.74,19.74,19.74,19.74,19.79,21.5,19.63,21,0.86,21.95,20.1,0,,19.97,,,,,,,21.11,,,
11/11/2016,Kansas,99,Indiana,103,6,5.06,4.86,4.86,4.86,4.86,4.68,7,4.37,5,0.73,5.26,5.6,1,,5.04,,,,,,,6.24,,,
11/11/2016,Kansas St.,82,Western Illinois,55,18.5,18.84,18.9,18.9,18.9,18.9,21.56,17.5,17.66,19,1.81,21.74,15.6,0,,16.45,,,,,,,19.61,,,
11/11/2016,Kentucky,87,Stephen F. Austin,64,21,14.94,19.52,19.52,19.52,19.52,6.65,19.5,14.32,8,5.14,13.94,11,0,,20.57,,,,,,,11.78,,,
11/11/2016,Louisville,78,Evansville,47,22,18.14,23.31,23.31,23.31,23.31,17.94,17,15.3,14,4.34,14.63,13.1,0,,17.75,,,,,,,13.63,,,
11/11/2016,Marquette,95,Vanderbilt,71,1.5,-4.4,-3.53,-3.53,-3.53,-3.53,-6.82,-2.5,-2.39,-8,2.25,-8.49,-5.2,1,,-0.72,,,,,,,-2.64,,,
11/11/2016,Maryland,62,American,56,21,22.6,21.57,21.57,21.57,21.57,18.94,21,23.91,27,3.31,30.3,23.1,0,,10.99,,,,,,,28.12,,,
11/11/2016,Miami-Florida,92,Western Carolina,43,23.5,21.53,21.68,21.68,21.68,21.68,26.85,23,19.05,19,2.31,24.29,21.4,0,,16.38,,,,,,,23.15,,,
11/11/2016,Minnesota,86,Louisiana-Lafayette,74,9.5,4.88,11.08,11.08,11.08,11.08,0.59,8,5.04,-5,6.29,1.93,-3.4,0,,8.57,,,,,,,1.64,,,
