date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,linesaggm,linemoore,lineopen,linedok,linefox,std,linepugh,linedonc,neutral,linetalis,lineespn,linepir,linepiw,linepib,line7ot,lineer,linedd,linemassey,linedunk,lineround,lineteamrnks
11/6/2018,Arizona St.,102,Cal St. Fullerton,94,12.5,12.88,12.38,12.38,12.38,12.38,7.91,11.5,13.85,11,2.32,17.2,13.9,0,16.7,12.6,,,,11,14.03,,11.62,10.52,,14.3
11/6/2018,Auburn,101,South Alabama,58,20.5,19.7,18.22,18.22,18.22,18.22,20.73,21,21.2,18,2.63,22.58,19,0,21.4,16.13,,,,17,19.61,,22.17,25.86,,16
11/6/2018,Ball St.,86,Indiana St.,69,7,4.65,2.22,2.22,2.22,2.22,11.15,6.5,3.32,6,3.42,0.48,2.3,0,3.1,7.97,,,,2,4.99,,2.81,11.59,,7.1
11/6/2018,Boston College,73,Wisconsin-Milwaukee,53,16,15.76,15.91,15.91,15.91,15.91,26.57,17,11.04,14,3.53,14.54,12.2,0,16.8,15.07,,,,7,18.42,,12.65,15.64,,15.8
11/6/2018,Buffalo,82,St. Francis (PA),67,15.5,14.47,11.41,11.41,11.41,11.41,10.59,,12.59,19,4.9,15.41,13.9,0,14.4,10.52,,,,11,,,17.29,28.98,,14.3
11/6/2018,CS Northridge,84,New Mexico,87,-14.5,-14.17,-13.7,-13.7,-13.7,-13.7,-17.93,-13.5,-11.38,-16,2.81,-15.18,-11.4,0,-14.9,-10.54,,,,-5,-12.03,,-12.09,-21.43,,-14.9
11/6/2018,Central Florida,74,Rider,70,7,8.87,15.46,15.46,15.46,15.46,0.49,6,6.45,5,4.64,8.13,8.4,0,4.8,8.42,,,,4,5.18,,9.61,7.19,,7.5
11/6/2018,Clemson,100,Citadel,80,27.5,26.87,24.1,24.1,24.1,24.1,29.82,25,24.64,29,4.56,31.72,21.4,0,29,18.85,,,,19,28.33,,29.99,37.24,,26.7
11/6/2018,Creighton,78,Western Illinois,67,,22.62,20.81,20.81,20.81,20.81,17.53,20,21.41,22,3.36,26.41,21.2,0,24.9,18.63,,,,18,23.22,,25.24,30.9,,24.7
11/6/2018,Davidson,83,Cleveland St.,63,18.5,19.62,16.83,16.83,16.83,16.83,28.61,18.5,16.55,22,4.57,21.77,15.5,0,23.5,12.88,,,,14,19.69,,19.03,28.7,,18.8
11/6/2018,Florida St.,81,Florida,60,,2.77,3.12,3.12,3.12,3.12,1.56,4,1.54,2,1.42,0.6,6.6,0,3.3,2.98,,,,3,1.27,,3.3,1.99,,3.9
11/6/2018,George Mason,71,Pennsylvania,72,5,0.08,5.2,5.2,5.2,5.2,-2.01,3.5,1.42,-6,4.13,-0.28,-2.3,0,-4.2,1.66,,,,-3,-0.13,,-0.32,-7.88,,0.4
11/6/2018,Georgia St.,74,East Tennessee St.,68,7,5.49,3.44,3.44,3.44,3.44,18,7,3.3,4,4.78,1.35,1.2,0,2.1,10.8,,,,1,11.36,,1.9,5.04,,9.6
11/6/2018,Gonzaga,120,Idaho St.,79,29.5,26.54,27.22,27.22,27.22,27.22,27.94,27.5,29.07,25,2.86,27.95,22,0,27.2,21.44,,,,17,26.05,,24.26,33.28,,25.1
11/6/2018,Kansas,92,Michigan St.,87,4.5,1.23,-0.05,-0.05,-0.05,-0.05,-1.34,6,1.52,2,1.8,1.24,3.9,1,-1.3,4.51,,,,4,0.3,,2.79,1.91,,3.1
11/6/2018,Kentucky,84,Duke,118,,-2.78,-5.27,-5.27,-5.27,-5.27,2.01,1,-0.89,-3,2.78,-3.94,1,1,-7.8,0.66,,,,1,-1.1,,-2.31,-3.28,,-2
11/6/2018,Manhattan,56,Elon,62,-1,3,1.57,1.57,1.57,1.57,-0.89,-1,1.72,7,2.92,3.26,3.4,0,5.3,1.86,,,,1,3.39,,2.58,10.95,,0.1
11/6/2018,Maryland,73,Delaware,67,19.5,19.72,19,19,19,19,20.82,18.5,18.24,18,2.98,22.19,16.3,0,21.5,14.95,,,,14,22.99,,20.01,27.25,,17.5
11/6/2018,Memphis,76,Tennessee Tech,61,16,12.88,14.44,14.44,14.44,14.44,13.79,14,10.81,10,3.24,10.68,13.4,0,7.3,12.14,,,,8,20.77,,8.27,13.8,,14.5
11/6/2018,Minnesota,104,Nebraska Omaha,76,14.5,16.56,18.4,18.4,18.4,18.4,20.31,15,12.71,12,2.47,17.34,15.3,0,17.1,14.58,,,,12,14.54,,15.82,19.73,,15.4
11/6/2018,Montana St.,71,Utah St.,101,-4,-4.18,-1.61,-1.61,-1.61,-1.61,-4.31,-2.5,-5.34,-7,2.43,-7.53,-4,0,-6,-0.75,,,,-3,-5.41,,-3.75,-8.54,,-3.7
11/6/2018,NC Charlotte,69,Chattanooga,80,4.5,2.78,1.31,1.31,1.31,1.31,16.04,5.5,0.37,-1,4.01,2.5,2.5,0,2,4.53,,,,2,2.43,,2.82,-0.64,,4.9
11/6/2018,Nevada,86,BYU,70,,9.37,7.06,7.06,7.06,7.06,9.41,12.5,11.26,10,2.05,8.78,13,0,9.7,6.91,,,,8,10.59,,9.16,10.98,,12.5
11/6/2018,Notre Dame,84,Illinois-Chicago,67,13,15.72,17.2,17.2,17.2,17.2,12.55,16,16.55,12,2.18,18.99,14,0,17.4,13.86,,,,8,16.37,,12.96,14.55,,17.7
11/6/2018,Oregon,84,Portland St.,57,23.5,17.46,21.9,21.9,21.9,21.9,13.15,20,19.41,13,3.95,15.39,16.3,0,10.6,15.2,,,,13,20.97,,13.66,15.94,,20.7
